Cuadro 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÍNDICE DE ACTIVIDAD DEL COMERCIO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIFRAS A PRECIOS CONSTANTES POR CLASE CIIU4.CL 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BASE PROMEDIO AÑO 2014 = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Octubre 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mes y año;Índice general/Ref/P/R;Clase 4510;Clase 4530;Clase 4620;Clase 4630;Clase 4641;Clase 4649;Clase 4650;Clase 4661;Clase 4663;Clase 4669;Clase 4690;Clase 4711;Clase 4719;Clase 4720;Clase 4730;Clase 4740;Clase 4752;Clase 4759;Clase 4760;Clase 4771;Clase 4772;Clase 4773;;;;;;;;
;jul-20;102,27;72,30;87,11;111,38;89,90;94,49;127,93;129,79;132,58;104,47;104,47;125,77;103,56;89,45;100,42;65,75;224,34;109,38;77,11;53,61;63,74;93,94;93,98;;;;;;;;
;ago-20;121,60;104,74;104,38;119,13;98,03;103,98;135,02;134,69;129,22;113,70;124,75;142,09;129,84;146,15;119,09;75,76;286,18;140,59;121,28;79,04;101,11;103,93;103,05;;;;;;;;
;sep-20;124,63;143,37;108,39;135,72;99,57;124,91;140,20;137,63;126,08;121,28;143,63;133,19;116,49;130,26;124,16;68,78;245,70;140,59;107,48;82,15;117,40;101,82;103,59;;;;;;;;
;oct-20;130,84;140,47;113,64;119,41;88,86;152,82;167,52;150,94;134,76;137,31;137,19;141,47;120,55;127,87;121,32;76,16;258,11;154,96;106,75;96,27;128,11;109,03;109,41;;;;;;;;
;nov-20;132,51;129,77;111,61;105,33;97,35;166,37;162,09;142,69;138,88;140,11;115,24;147,46;114,02;163,63;115,74;76,99;303,49;155,97;125,79;106,20;152,85;110,39;113,88;;;;;;;;
;dic-20;155,61;128,85;108,64;108,64;172,25;156,16;138,44;159,38;141,95;138,10;105,80;166,77;150,87;216,44;147,80;90,24;386,50;158,70;182,10;146,00;238,66;132,27;137,60;;;;;;;;
;ene-21;124,17;102,18;113,92;117,86;121,98;130,23;156,09;140,03;131,11;130,41;91,21;134,25;117,12;129,31;116,58;87,67;277,38;156,29;107,94;77,88;115,12;109,19;103,33;;;;;;;;
;feb-21;118,31;107,91;106,25;99,44;96,23;124,83;141,58;134,27;120,09;129,91;94,85;133,16;110,59;125,42;113,00;86,88;278,65;148,29;101,27;84,35;120,77;97,40;104,93;;;;;;;;
;mar-21;134,81;135,76;117,29;98,95;111,62;138,08;167,67;161,65;126,81;149,42;96,04;156,62;127,27;131,73;124,59;93,70;349,38;169,24;106,94;91,23;107,48;117,14;110,60;;;;;;;;
;abr-21;117,60;127,08;106,00;111,65;99,22;107,38;149,52;140,95;116,54;139,10;89,49;133,48;113,31;101,48;115,91;68,14;284,87;152,64;81,69;73,16;66,68;107,88;92,96;;;;;;;;
;may-21;139,66;141,29;114,12;101,45;94,72;140,24;161,94;145,00;125,55;143,11;86,12;138,16;136,26;193,19;133,86;88,29;344,33;165,85;149,68;92,75;169,86;125,87;115,39;;;;;;;;
;jun-21;137,89;139,14;119,05;83,76;100,64;153,33;155,19;156,89;128,44;140,82;94,28;141,09;129,48;167,11;129,40;87,27;362,17;154,82;132,06;86,77;157,53;121,22;118,19;;;;;;;;
;jul-21;144,46;135,04;127,19;132,93;104,75;184,81;171,35;152,61;141,96;144,49;105,82;143,52;130,23;177,14;135,46;93,81;325,75;156,87;136,32;95,62;202,34;124,33;135,70;;;;;;;;
;ago-21;148,88;136,77;132,33;125,08;106,15;194,31;169,04;171,47;138,20;145,58;120,77;148,85;131,02;175,14;137,02;111,12;354,22;158,96;144,16;108,93;200,24;126,45;136,42;;;;;;;;
;sep-21;146,44;168,12;126,52;118,54;107,72;168,07;175,73;166,23;132,03;129,60;130,88;141,60;130,92;148,77;142,94;104,75;327,24;148,40;129,60;101,98;193,98;120,11;128,07;;;;;;;;
;oct-21;148,40;146,62;129,46;111,03;97,34;208,55;175,93;159,14;121,72;130,86;126,97;143,84;137,04;184,13;141,79;107,64;344,36;158,40;143,41;114,65;208,66;127,34;132,67;;;;;;;;
;nov-21;150,33;154,79;135,89;121,72;101,62;198,55;180,23;179,13;118,44;132,91;108,56;152,03;130,51;172,66;135,61;107,41;358,96;162,85;137,44;126,12;195,65;125,37;133,56;;;;;;;;
;dic-21;176,21;155,55;128,90;133,17;186,67;200,21;153,43;191,84;135,56;126,87;101,48;168,87;161,28;249,39;165,30;117,14;458,26;152,20;187,95;163,31;314,16;144,99;162,43;;;;;;;;
;ene-22;138,14;130,48;130,28;107,70;131,07;170,15;161,89;169,67;125,46;119,32;84,99;132,26;125,74;138,17;126,25;117,44;333,86;149,64;112,91;96,16;154,06;116,99;116,38;;;;;;;;
