AÑO,GLOSA,ÍNDICE,,,,,,,,
2019-11,RECREACIÓN Y CULTURA,106.22,,,,,,,,
2019-11,RESTAURANTES Y HOTELES,103.75,,,,,,,,
2019-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,104.54,,,,,,,,
2019-12,BEBIDAS ALCOHÓLICAS Y TABACO,104.14,,,,,,,,
2019-12,VESTUARIO Y CALZADO,100.31,,,,,,,,
2019-12,RECREACIÓN Y CULTURA,105.19,,,,,,,,
2019-12,RESTAURANTES Y HOTELES,104.28,,,,,,,,
2019-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,105.62,,,,,,,,
2019-01,BEBIDAS ALCOHÓLICAS Y TABACO,105.45,,,,,,,,
2019-01,VESTUARIO Y CALZADO,97.93,,,,,,,,
2019-01,RECREACIÓN Y CULTURA,107.08,,,,,,,,
2019-01,RESTAURANTES Y HOTELES,104.52,,,,,,,,
2020-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,106.39,,,,,,,,
2020-02,BEBIDAS ALCOHÓLICAS Y TABACO,105.08,,,,,,,,
2020-02,VESTUARIO Y CALZADO,100.3,,,,,,,,
